movieId,title,img
tt0106977,The Fugitive (1993),"https://m.media-amazon.com/images/M/MV5BYmFmOGZjYTItYjY1ZS00OWRiLTk0NDgtMjQ5MzBkYWE2YWE0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt0172495,Gladiator (2000),"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt0058150,Goldfinger (1964),"https://m.media-amazon.com/images/M/MV5BMTQ2MzE0OTU3NV5BMl5BanBnXkFtZTcwNjQxNTgzNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt0234215,The Matrix Reloaded (2003),"https://m.media-amazon.com/images/M/MV5BODE0MzZhZTgtYzkwYi00YmI5LThlZWYtOWRmNWE5ODk0NzMxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt0318627,Resident Evil: Apocalypse (2004),"https://m.media-amazon.com/images/M/MV5BMTc1NTUxMzk0Nl5BMl5BanBnXkFtZTcwNDQ1MDIzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt0332452,Troy (2004),"https://m.media-amazon.com/images/M/MV5BMTk5MzU1MDMwMF5BMl5BanBnXkFtZTcwNjczODMzMw@@._V1_QL75_UY281_CR0,0,190,281_.jpg"
tt0241527,Harry Potter and the Sorcerer's Stone (2001),"https://m.media-amazon.com/images/M/MV5BNmQ0ODBhMjUtNDRhOC00MGQzLTk5MTAtZDliODg5NmU5MjZhXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_QL75_UY281_CR1,0,190,281_.jpg"
tt0295297,Harry Potter and the Chamber of Secrets (2002),"https://m.media-amazon.com/images/M/MV5BMjE0YjUzNDUtMjc5OS00MTU3LTgxMmUtODhkOThkMzdjNWI4XkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_QL75_UY281_CR3,0,190,281_.jpg"
tt0118583,Alien: Resurrection (1997),"https://m.media-amazon.com/images/M/MV5BMTA1NzE0YTAtOTc2Yy00YzlmLWFjMzktOTAxMjZkMTkwYWQ2XkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_QL75_UX190_CR0,3,190,281_.jpg"
tt0266543,Finding Nemo (2003),"https://m.media-amazon.com/images/M/MV5BZjMxYzBiNjUtZDliNC00MDAyLTg3N2QtOWNjNmNhZGQzNDg5XkEyXkFqcGdeQXVyNjE2MjQwNjc@._V1_QL75_UY281_CR1,0,190,281_.jpg"
tt0167190,Hellboy (2004),"https://m.media-amazon.com/images/M/MV5BNTc1ZWY0ZTEtZTVmNi00MTg0LTg4NmQtZTI4OWNiMmQ0MWZkXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UY281_CR8,0,190,281_.jpg"
tt0091209,The Hitcher (1986),"https://m.media-amazon.com/images/M/MV5BZjg4YzRiYTctMDdmOS00MzNlLTgwMGUtZjZhYTVhZmUxOGU2XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,3,190,281_.jpg"
tt0071853,Monty Python and the Holy Grail (1975),"https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
