movieId,title
tt0362227,The Terminal (2004)
tt0109506,The Crow (1994)
tt0077402,Dawn of the Dead (1978)
tt0080749,The Fog (1980)
tt0119528,Liar Liar (1997)
tt0070355,Magnum Force (1973)
tt0311429,The League of Extraordinary Gentlemen (2003)
tt0120611,Blade (1998)
tt0077766,Jaws 2 (1978)
tt0257044,Road to Perdition (2002)
tt0095765,Cinema Paradiso (1988)
tt0088847,The Breakfast Club (1985)
tt0109040,Ace Ventura: Pet Detective (1994)
tt0080339,Airplane! (1980)
tt0074119,All the President's Men (1976)
tt0163651,American Pie (1999)
tt0120591,Armageddon (1998)
tt0295178,Austin Powers in Goldmember (2002)
tt0085334,A Christmas Story (1983)
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
tt0023969,Duck Soup (1933)
tt0109707,Ed Wood (1994)
tt0099685,Goodfellas (1990)
tt0164052,Hollow Man (2000)
tt0119396,Jackie Brown (1997)
tt0163025,Jurassic Park III (2001)
tt0212338,Meet the Parents (2000)
tt0166924,Mulholland Drive (2001)
tt0097958,National Lampoon's Christmas Vacation (1989)
tt0052077,Plan 9 from Outer Space (1957)
tt0054215,Psycho (1960)
tt0047396,Rear Window (1954)
tt0056218,The Manchurian Candidate (1962)
tt0217869,Unbreakable (2000)
tt0096438,Who Framed Roger Rabbit (1988)
tt0072431,Young Frankenstein (1974)
tt0364569,Oldboy (2003)
tt0046876,Creature from the Black Lagoon (1954)
tt0058329,Marnie (1964)
tt0134119,The Talented Mr. Ripley (1999)
tt0096256,They Live (1988)
tt0055614,West Side Story (1961)
tt0066995,Diamonds Are Forever (1971)
tt0079574,Moonraker (1979)
tt0071807,The Man with the Golden Gun (1974)
tt0172156,Bad Boys II (2003)
tt0309698,Identity (2003)
tt0118929,Dark City (1998)
tt0090264,A View to a Kill (1985)
tt0089927,Rocky IV (1985)
tt0086034,Octopussy (1983)
tt0181875,Almost Famous (2000)
tt0047296,On the Waterfront (1954)
tt0070909,Westworld (1973)
tt0322259,2 Fast 2 Furious (2003)
tt0119654,Men in Black (1997)
tt0306047,Scary Movie 3 (2003)
tt0068646,The Godfather (1972)
tt0137523,Fight Club (1999)
tt0180093,Requiem for a Dream (2000)
tt0120689,The Green Mile (1999)
tt0265666,The Royal Tenenbaums (2001)
tt0213149,Pearl Harbor (2001)
tt0093177,Hellraiser (1987)
tt0070735,The Sting (1973)
tt0071360,The Conversation (1974)
tt0099487,Edward Scissorhands (1990)
tt0093428,The Living Daylights (1987)
tt0097742,Licence to Kill (1989)
tt0031381,Gone with the Wind (1939)
tt0071315,Chinatown (1974)
tt0059742,The Sound of Music (1965)
tt0093779,The Princess Bride (1987)
